query,intent,brand,model,year,sensor
is Autonomous sensor data stream broken for 009?,system_status_check,Zeekr,009,2024,Autonomous sensor
when stop high voltage battery for volvo,temporal_stats,Volvo,S90,2025,High Voltage battery
find outliers in can-fd dataset,imperative_commands,Geely Auto,Galaxy L7,2023,CAN-FD
grt me TPMS stats for 08 EM-P,imperative_commands,Lynk & Co,08 EM-P,2023,TPMS
explain vision system context in em90,data_definition,Volvo,EM90,2024,Vision system
status of Traction battery collection in Lynk & Co,system_status_check,Lynk & Co,Z10,2025,Traction battery
find outliers in Vision system dataset,imperative_commands,Volvo,EM90,2024,Vision system
frequency of ADAS Camera errors Volvo,anomaly_info,Volvo,S90,2024,ADAS Camera
same info but for Lynk & Co 08 EM-P,contextual_followups,Lynk & Co,08 EM-P,2023,LIDAR
any issues with Hood sensor logs today?,system_status_check,Volvo,EM90,2025,Hood sensor
What are the peaks of LiDAR in Jiyue 07?,statistical_query,Jiyue,07,2024,LiDAR
forst time Tire Pressure was used in Lotus?,temporal_stats,Lotus,Eletre,2023,Tire Pressure
bad data points in LiDAR Polestar 5,anomaly_info,Polestar,Polestar 5,2025,LiDAR
why Vision system spikes in Lynk & Co?,anomaly_info,Lynk & Co,03 TCR,2025,Vision system
identify Autonomous sensor anomalies Lynk & Co,anomaly_info,Lynk & Co,05,2022,Autonomous sensor
bad data points in traction battery v60 recharge,anomaly_info,Volvo,V60 Recharge,2021,Traction battery
show Volvo ADAS Camera owner now,imperative_commands,Volvo,EX90,2026,ADAS Camera
find outliers in CANBUS dataset,imperative_commands,Zeekr,009,2023,CANBUS
must usr Kistler Wheels for Lynk & Co data?,collection_method,Lynk & Co,08 EM-P,2025,Hood sensor
bqd data points in Lidar 009,anomaly_info,Zeekr,009,2024,Lidar
first time hood sensor was used in jiyue,temporal_stats,Jiyue,07,2025,Hood sensor
speciql attachments for Polestar 2 Vision system?,collection_method,Polestar,Polestar 2,2023,Vision system
is LiDAR data stream broken for XC60?,system_status_check,Volvo,XC60,2023,LiDAR
most freq Hood sensor value,statistical_query,Jiyue,01,2024,Hood sensor
identify Tyre Pressure anomalies Lynk & Co,anomaly_info,Lynk & Co,05,2022,Tyre Pressure
difference in bonnet sensor data for jiyue vs polestar,comparative_analysis,Jiyue,01,2023,Bonnet sensor
first time HV battery was used in Lotus?,temporal_stats,Lotus,Emira,2024,HV battery
what Control Network means for car Polestar 5?,data_definition,Polestar,Polestar 5,2026,Control Network
what Autonomous sensor means for car 09 Ultra?,data_definition,Lynk & Co,09 Ultra,2023,Autonomous sensor
what about Tire Pressure on the 01?,contextual_followups,Jiyue,01,2023,Tire Pressure
common range for Tire Pressure in Lynk & Co,statistical_query,Lynk & Co,05,2024,Tire Pressure
most freq Autonomous sensor value,statistical_query,Jiyue,07,2025,Autonomous sensor
since when Tire Pressure collected Volvo?,temporal_stats,Volvo,XC90,2023,Tire Pressure
contact for Evija ADAS Camera access,access_governance,Lotus,Evija,2025,ADAS Camera
get me Noise and Vibration stats for EM90,imperative_commands,Volvo,EM90,2025,Noise and Vibration
what is Hood sensor for Geely Auto?,data_definition,Geely Auto,Starray,2024,Hood sensor
difference in TPMS data for Zeekr vs Volvo,comparative_analysis,Zeekr,009,2023,TPMS
what about Control Network on the V60 Recharge?,contextual_followups,Volvo,V60 Recharge,2022,Control Network
how TPMS works in Lynk & Co 01?,data_definition,Lynk & Co,01,2017,TPMS
is Tire Pressure more accurate in Polestar 5 or Polestar 3?,comparative_analysis,Polestar,Polestar 5,2025,Tire Pressure
last update time for boot latch sensor,temporal_stats,Lotus,Emira,2023,Boot latch sensor
hood sensor performance geely auto vs geely auto,comparative_analysis,Geely Auto,Coolray,2018,Hood sensor
compare Tire Pressure between 01 and 01,comparative_analysis,Jiyue,01,2025,Tire Pressure
get me bonnet sensor stats for galaxy l7,imperative_commands,Geely Auto,Galaxy L7,2025,Bonnet sensor
check Polestar High Voltage battery database health,system_status_check,Polestar,Polestar 4,2024,High Voltage battery
common range for tire pressure in lotus,statistical_query,Lotus,Emira,2022,Tire Pressure
common range for LiDAR in Volvo,statistical_query,Volvo,XC60,2022,LiDAR
is Polestar 2 Traction battery streaming?,collection_method,Polestar,Polestar 2,2025,Traction battery
must use Oxford RT3000 for Lynk & Co data?,collection_method,Lynk & Co,09 Ultra,2023,NVH
pull Autonomous sensor history for 001,imperative_commands,Zeekr,001,2025,Autonomous sensor
get me Noise and Vibration stats for Emeya,imperative_commands,Lotus,Emeya,2024,Noise and Vibration
When did we start collecting Control Network for 05?,temporal_stats,Lynk & Co,05,2025,Control Network
common range for control network in geely auto,statistical_query,Geely Auto,Galaxy L7,2025,Control Network
is Noise and Vibration real-time or offline?,collection_method,Lotus,Emeya,2024,Noise and Vibration
difference in Noise and Vibration data for Polestar vs Polestar,comparative_analysis,Polestar,Polestar 4,2024,Noise and Vibration
HV battery performance Volvo vs Volvo,comparative_analysis,Volvo,EX30,2024,HV battery
when stop Bonnet sensor for Lotus?,temporal_stats,Lotus,Emeya,2025,Bonnet sensor
same info but for Lynk & Co 05,contextual_followups,Lynk & Co,05,2022,Acoustics
pull Boot latch sensor history for Geometry E,imperative_commands,Geely Auto,Geometry E,2022,Boot latch sensor
to whom i speak for ADAS Camera access?,access_governance,Jiyue,07,2024,ADAS Camera
who ix owner Lidar data?,access_governance,Lynk & Co,09 Ultra,2025,Lidar
any issues with Lidar logs today?,system_status_check,Lynk & Co,05,2024,Lidar
abnormal Noise and Vibration readings 007,anomaly_info,Zeekr,007,2025,Noise and Vibration
CANBUS description Lotus Eletre,data_definition,Lotus,Eletre,2025,CANBUS
is Traction battery data stream broken for Panda Mini?,system_status_check,Geely Auto,Panda Mini,2025,Traction battery
what about Traction battery on the S90?,contextual_followups,Volvo,S90,2024,Traction battery
Show me outliers for ADAS Camera in Polestar 2,anomaly_info,Polestar,Polestar 2,2022,ADAS Camera
avg value for tpms xc60,statistical_query,Volvo,XC60,2018,TPMS
average reading of LIDAR Emeya,statistical_query,Lotus,Emeya,2025,LIDAR
check Polestar Autonomous sensor database health,system_status_check,Polestar,Polestar 3,2025,Autonomous sensor
outlier reqson for Traction battery logs,anomaly_info,Zeekr,7X,2025,Traction battery
what about Autonomoux sensor on the Polestar 2?,contextual_followups,Polestar,Polestar 2,2023,Autonomous sensor
is TPMS more accurate in Mix or S90?,comparative_analysis,Zeekr,Mix,2025,TPMS
is noise and vibration data live for x,collection_method,Zeekr,X,2024,Noise and Vibration
check Lotus HV battery database health,system_status_check,Lotus,Evija,2025,HV battery
give me hv battery max min evija,statistical_query,Lotus,Evija,2022,HV battery
lidar description jiyue 01,data_definition,Jiyue,01,2024,Lidar
what hv battery means for car z10,data_definition,Lynk & Co,Z10,2025,HV battery
os 07 High Voltage battery streaming?,collection_method,Jiyue,07,2024,High Voltage battery
responsible person for Lidar Lynk & Co,access_governance,Lynk & Co,05,2025,Lidar
Acoustics history Volvo,temporal_stats,Volvo,XC90,2016,Acoustics
what is highest/lowest Lidar?,statistical_query,Lotus,Evija,2024,Lidar
what about bonnet sensor on the ex30,contextual_followups,Volvo,EX30,2023,Bonnet sensor
find outliers in lidar dataset,imperative_commands,Lotus,Emira,2023,LiDAR
start date for Lidar logs XC60,temporal_stats,Volvo,XC60,2024,Lidar
first time Tyre Pressure was used in Jiyue?,temporal_stats,Jiyue,01,2023,Tyre Pressure
since when Noise and Vibration collected Lotus?,temporal_stats,Lotus,Emira,2022,Noise and Vibration
show Volvo Tyre Pressure owner now,imperative_commands,Volvo,EX90,2026,Tyre Pressure
compare Control Network between 05 and Polestar 3,comparative_analysis,Lynk & Co,05,2024,Control Network
responsible person for Tire Pressure Jiyue,access_governance,Jiyue,01,2023,Tire Pressure
Lidar history Zeekr,temporal_stats,Zeekr,007,2025,Lidar
is ADAS Camera still being recorded for XC90?,temporal_stats,Volvo,XC90,2023,ADAS Camera
collected after release for 009?,collection_method,Zeekr,009,2024,HV battery
definition of Boot latch sensor telemetry Jiyue,data_definition,Jiyue,01,2024,Boot latch sensor
is Control Network still being recorded for 3?,temporal_stats,Polestar,Polestar 3,2025,Control Network
xtatus of Tire Pressure collection in Zeekr,system_status_check,Zeekr,009,2025,Tire Pressure
is HV battery more accurate in Panda Mini or Panda Mini?,comparative_analysis,Geely Auto,Panda Mini,2024,HV battery
avg value for vision system v60 recharge,statistical_query,Volvo,V60 Recharge,2025,Vision system
is CAN-FD data strram broken for EX90?,system_status_check,Volvo,EX90,2025,CAN-FD
is 08 EM-P High Voltage battery streaming?,collection_method,Lynk & Co,08 EM-P,2024,High Voltage battery
get me Acoustics stats for Coolray,imperative_commands,Geely Auto,Coolray,2021,Acoustics
status of Boot latch sensor collection in Volvo,system_status_check,Volvo,XC90,2018,Boot latch sensor
What types of ADAS Camera data are available for Volvo EX90?,data_definition,Volvo,EX90,2026,ADAS Camera
pull Trunk sensor history for 03 TCR,imperative_commands,Lynk & Co,03 TCR,2025,Trunk sensor
Trunk sensor performance Jiyue vs Geely Auto,comparative_analysis,Jiyue,01,2025,Trunk sensor
what Boot latch sensor means for car EX30?,data_definition,Volvo,EX30,2026,Boot latch sensor
start date for Hood sensor logs 05,temporal_stats,Lynk & Co,05,2021,Hood sensor
pull boot latch sensor history for eletre,imperative_commands,Lotus,Eletre,2024,Boot latch sensor
any issues with ADAS Camera logs today?,system_status_check,Zeekr,009,2025,ADAS Camera
Is Control Network data live for Evija?,collection_method,Lotus,Evija,2022,Control Network
is TPMS still being recorded for EX30?,temporal_stats,Volvo,EX30,2024,TPMS
why LiDAR data jump so much?,anomaly_info,Polestar,Polestar 3,2024,LiDAR
does LIDAR need OBD-II logger for collection?,collection_method,Polestar,Polestar 5,2025,LIDAR
Evija Vision system data type?,data_definition,Lotus,Evija,2024,Vision system
start date for trunk sensor logs polestar 3,temporal_stats,Polestar,Polestar 3,2025,Trunk sensor
Who has access to CANBUS logs for Volvo?,access_governance,Volvo,EX90,2026,CANBUS
What are the peaks of CANBUS in Volvo XC90?,statistical_query,Volvo,XC90,2024,CANBUS
common range for Acoustics in Geely Auto,statistical_query,Geely Auto,Starray,2023,Acoustics
is Traction battery data stream broken for V60 Recharge?,system_status_check,Volvo,V60 Recharge,2025,Traction battery
erratic ADAS Camera data in Panda Mini,anomaly_info,Geely Auto,Panda Mini,2025,ADAS Camera
avg value for Tyre Pressure 01,statistical_query,Jiyue,01,2025,Tyre Pressure
is High Voltage battery more accurate in 07 or 01?,comparative_analysis,Jiyue,07,2025,High Voltage battery
is Trqction battery more accurate in 007 or 7X?,comparative_analysis,Zeekr,007,2025,Traction battery
what is Trunk sensor average in Polestar Polestar 2?,statistical_query,Polestar,Polestar 2,2024,Trunk sensor
Trunk sensor glitching on Starray?,anomaly_info,Geely Auto,Starray,2022,Trunk sensor
mean Lidar across Polestar fleet,statistical_query,Polestar,Polestar 5,2026,Lidar
why we use CSV for Hood sensor?,data_definition,Lynk & Co,08 EM-P,2023,Hood sensor
bad data pointx in Vision system 07,anomaly_info,Jiyue,07,2024,Vision system
frequency of LIDAR errors Zeekr,anomaly_info,Zeekr,009,2022,LIDAR
ix NVH data stream broken for Polestar 5?,system_status_check,Polestar,Polestar 5,2025,NVH
responsible person for HV battery Lotus,access_governance,Lotus,Evija,2022,HV battery
NVH performance Volvo vs Volvo,comparative_analysis,Volvo,XC60,2024,NVH
difference in CAN-FD data for Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,Z10,2025,CAN-FD
check Zeekr Tyre Pressure database health,system_status_check,Zeekr,001,2024,Tyre Pressure
Is LiDAR data live for 01?,collection_method,Jiyue,01,2024,LiDAR
Is HV battery data live for XC60?,collection_method,Volvo,XC60,2021,HV battery
give me tire pressure max min polestar 2,statistical_query,Polestar,Polestar 2,2024,Tire Pressure
Lidar performance Jiyue vs Geely Auto,comparative_analysis,Jiyue,07,2025,Lidar
stqtus of Traction battery collection in Volvo,system_status_check,Volvo,XC60,2021,Traction battery
get me Noise and Vibration stats for EX90,imperative_commands,Volvo,EX90,2024,Noise and Vibration
pull Noise qnd Vibration history for Mix,imperative_commands,Zeekr,Mix,2024,Noise and Vibration
Who hqs access to Acoustics logs for Lynk & Co?,access_governance,Lynk & Co,03 TCR,2022,Acoustics
give me Lidar max min 7X,statistical_query,Zeekr,7X,2024,Lidar
frequency of ADAS Camera errors Lynk & Co,anomaly_info,Lynk & Co,01,2024,ADAS Camera
tell me more about High Voltage battery context,contextual_followups,Zeekr,007,2023,High Voltage battery
explain TPMS context in EX30,data_definition,Volvo,EX30,2025,TPMS
status of Lidar collection in Lotus,system_status_check,Lotus,Emeya,2025,Lidar
bad data points in High Voltage battery 009,anomaly_info,Zeekr,009,2024,High Voltage battery
is 05 TPMS streaming?,collection_method,Lynk & Co,05,2022,TPMS
responsible person for Traction battery Volvo,access_governance,Volvo,XC60,2019,Traction battery
definition of tyre pressure telemetry zeekr,data_definition,Zeekr,009,2023,Tyre Pressure
how Boot latch sensor works in Emeya?,data_definition,Lotus,Emeya,2025,Boot latch sensor
Whrn did we start collecting Noise and Vibration for Emeya?,temporal_stats,Lotus,Emeya,2024,Noise and Vibration
is ADAS Camera still being recorded for EX90?,temporal_stats,Volvo,EX90,2025,ADAS Camera
is 03 tcr lidar streaming,collection_method,Lynk & Co,03 TCR,2023,Lidar
why CANBUS collection discontinued 5?,temporal_stats,Polestar,Polestar 5,2025,CANBUS
Noise and Vibration performance Jiyue vs Polestar,comparative_analysis,Jiyue,01,2024,Noise and Vibration
what about HV battery on the 4?,contextual_followups,Polestar,Polestar 4,2025,HV battery
start date for LIDAR logs Polestar 5,temporal_stats,Polestar,Polestar 5,2026,LIDAR
definition of Hood sensor telemetry Lynk & Co,data_definition,Lynk & Co,09 Ultra,2025,Hood sensor
compare Control Network between Coolray and 07,comparative_analysis,Geely Auto,Coolray,2021,Control Network
production vehicle logs for jiyue vision system,collection_method,Jiyue,01,2025,Vision system
check Trunk sensor database health,system_status_check,Jiyue,01,2025,Trunk sensor
any issues with Bonnet sensor logs today?,system_status_check,Geely Auto,Galaxy L7,2025,Bonnet sensor
is Hood sensor data stream broken for Polestar 4?,system_status_check,Polestar,Polestar 4,2024,Hood sensor
is LIDAR data stream broken for Polestar 2?,system_status_check,Polestar,Polestar 2,2022,LIDAR
outlier reason for Tyre Pressure logs,anomaly_info,Polestar,Polestar 5,2026,Tyre Pressure
average reading of Tire Pressure Emira,statistical_query,Lotus,Emira,2022,Tire Pressure
since when NVH collected Volvo?,temporal_stats,Volvo,S90,2022,NVH
how is NVH data gathered for Geely Auto?,collection_method,Geely Auto,Coolray,2019,NVH
contact for Panda Mini Boot latch sensor access,access_governance,Geely Auto,Panda Mini,2023,Boot latch sensor
compare Trunk sensor between 09 Ultra and 03 TCR,comparative_analysis,Lynk & Co,09 Ultra,2022,Trunk sensor
avg value for TPMS 01,statistical_query,Jiyue,01,2023,TPMS
first time Control Network was used in Volvo?,temporal_stats,Volvo,EM90,2024,Control Network
is Starray Acoustics streaming?,collection_method,Geely Auto,Starray,2024,Acoustics
give me lidar max min panda mini,statistical_query,Geely Auto,Panda Mini,2024,LIDAR
request access to XC90 Acoustics,access_governance,Volvo,XC90,2016,Acoustics
difference in TPMS data for Volvo vs Polestar,comparative_analysis,Volvo,EM90,2024,TPMS
responsible person for NVH Polestar,access_governance,Polestar,Polestar 5,2026,NVH
Is Bonnet sensor data live for Polestar 3?,collection_method,Polestar,Polestar 3,2023,Bonnet sensor
how is NVH data gathered for Jiyue?,collection_method,Jiyue,01,2025,NVH
who is owner CANBUS data?,access_governance,Polestar,Polestar 5,2025,CANBUS
is ADAS Camera data stream broken for EX90?,system_status_check,Volvo,EX90,2024,ADAS Camera
find outliers in NVH dataset,imperative_commands,Jiyue,01,2025,NVH
show Zrekr HV battery owner now,imperative_commands,Zeekr,7X,2025,HV battery
Boot latch sensor performance Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,01,2019,Boot latch sensor
what about can-fd on the 001,contextual_followups,Zeekr,001,2024,CAN-FD
is hood sensor more accurate in polestar 2 or 08 em-p,comparative_analysis,Polestar,Polestar 2,2024,Hood sensor
how Noise and Vibration works in Lynk & Co 08 EM-P?,data_definition,Lynk & Co,08 EM-P,2025,Noise and Vibration
acoustics description zeekr 001,data_definition,Zeekr,001,2021,Acoustics
definition of Acoustics telemetry Volvo,data_definition,Volvo,EX30,2026,Acoustics
first time Tire Pressure was used in Volvo?,temporal_stats,Volvo,XC90,2024,Tire Pressure
since when hv battery collected zeekr,temporal_stats,Zeekr,009,2025,HV battery
avg value for Trunk sensor Polestar 4,statistical_query,Polestar,Polestar 4,2025,Trunk sensor
what is NVH average in Lotus Emira?,statistical_query,Lotus,Emira,2024,NVH
common range for Traction battery in Geely Auto,statistical_query,Geely Auto,Panda Mini,2024,Traction battery
What types of Trunk sensor data are available for Polestar Polestar 2?,data_definition,Polestar,Polestar 2,2025,Trunk sensor
production vehicle logs for Autonomous sensor?,collection_method,Lotus,Evija,2024,Autonomous sensor
pull Trunk sensor history for Emeya,imperative_commands,Lotus,Emeya,2024,Trunk sensor
High Voltage battery glitching on Mix?,anomaly_info,Zeekr,Mix,2024,High Voltage battery
to whom i speak for HV battery access?,access_governance,Polestar,Polestar 5,2026,HV battery
is NVH more accurate in Evija or 07?,comparative_analysis,Lotus,Evija,2021,NVH
since when Boot latch sensor collected Geely Auto?,temporal_stats,Geely Auto,Emigrant,2021,Boot latch sensor
what LIDAR means for car XC60?,data_definition,Volvo,XC60,2024,LIDAR
bad data points in Tyre Pressure Evija,anomaly_info,Lotus,Evija,2021,Tyre Pressure
roof rig needed for Tyre Pressure?,collection_method,Lotus,Eletre,2025,Tyre Pressure
identify Bonnet sensor anomalies Lynk & Co,anomaly_info,Lynk & Co,09 Ultra,2023,Bonnet sensor
difference in Acoustics data for Volvo vs Volvo,comparative_analysis,Volvo,EX30,2023,Acoustics
tell me more about CANBUS context,contextual_followups,Geely Auto,Emigrant,2025,CANBUS
show Geely Auto Lidar owner now,imperative_commands,Geely Auto,Starray,2022,Lidar
identify Control Network anomalies Jiyue,anomaly_info,Jiyue,07,2024,Control Network
pull Acoustics history for Emira,imperative_commands,Lotus,Emira,2024,Acoustics
Autonomous sensor glitching on Galaxy L7?,anomaly_info,Geely Auto,Galaxy L7,2024,Autonomous sensor
ADAS Camera performance Zeekr vs Zeekr,comparative_analysis,Zeekr,Mix,2025,ADAS Camera
pull CAN-FD history for Emeya,imperative_commands,Lotus,Emeya,2024,CAN-FD
xhow Lynk & Co Traction battery owner now,imperative_commands,Lynk & Co,Z10,2024,Traction battery
special attachments for emeya high voltage battery,collection_method,Lotus,Emeya,2024,High Voltage battery
give me Traction battery max min XC90,statistical_query,Volvo,XC90,2017,Traction battery
difference in autonomous sensor data for geely auto vs polestar,comparative_analysis,Geely Auto,Coolray,2022,Autonomous sensor
why trunk sensor spikes in volvo,anomaly_info,Volvo,XC90,2016,Trunk sensor
is Lidar more accurate in Z10 or 03 TCR?,comparative_analysis,Lynk & Co,Z10,2025,Lidar
is CAN-FD more accurate in XC90 or 05?,comparative_analysis,Volvo,XC90,2023,CAN-FD
what is highest/lowest Bonnet sensor?,statistical_query,Geely Auto,Panda Mini,2025,Bonnet sensor
grt me Noise and Vibration stats for Evija,imperative_commands,Lotus,Evija,2020,Noise and Vibration
show Trunk sensor owner now,imperative_commands,Zeekr,X,2025,Trunk sensor
difference in Acoustics data for Jiyue vs Jiyue,comparative_analysis,Jiyue,07,2025,Acoustics
difference in Tyre Pressure data for Jiyue vs Jiyue,comparative_analysis,Jiyue,01,2024,Tyre Pressure
avrrage reading of Lidar 07,statistical_query,Jiyue,07,2024,Lidar
is Bonnet sensor real-time or offline?,collection_method,Jiyue,07,2024,Bonnet sensor
status of Bonnet sensor collection in Zeekr,system_status_check,Zeekr,001,2022,Bonnet sensor
Is Trunk sensor data live for 007?,collection_method,Zeekr,007,2023,Trunk sensor
is noise and vibration more accurate in eletre or emeya,comparative_analysis,Lotus,Eletre,2023,Noise and Vibration
erratic TPMS data in 01,anomaly_info,Lynk & Co,01,2023,TPMS
same info but for 01,contextual_followups,Lynk & Co,01,2025,Control Network
is TPMS data stream broken for XC90?,system_status_check,Volvo,XC90,2021,TPMS
contact for 01 can-fd access,access_governance,Jiyue,01,2025,CAN-FD
collected after release for geometry e,collection_method,Geely Auto,Geometry E,2023,CAN-FD
why we use MDF4 for LIDAR?,data_definition,Zeekr,009,2025,LIDAR
who working on volvo lidar right now,access_governance,Volvo,EM90,2024,LiDAR
whqt is Control Network average in Lotus Emeya?,statistical_query,Lotus,Emeya,2024,Control Network
production vehicle logs for Jiyue Traction battery?,collection_method,Jiyue,07,2025,Traction battery
why Lidar spikes in Jiyue?,anomaly_info,Jiyue,01,2024,Lidar
does Noise and Vibration need Roof-mounted rig for collection?,collection_method,Geely Auto,Panda Mini,2024,Noise and Vibration
status of CAN-FD collection in Geely Auto,system_status_check,Geely Auto,Coolray,2025,CAN-FD
who owns the Hood sensor dataset?,access_governance,Geely Auto,Galaxy L7,2023,Hood sensor
permission for Eletre CANBUS data,access_governance,Lotus,Eletre,2023,CANBUS
get me Control Network stats for EX30,imperative_commands,Volvo,EX30,2023,Control Network
what ix Lidar average in Zeekr 001?,statistical_query,Zeekr,001,2024,Lidar
status of LiDAR collection in Zeekr,system_status_check,Zeekr,Mix,2025,LiDAR
how can-fd works in lynk & co 03 tcr,data_definition,Lynk & Co,03 TCR,2022,CAN-FD
request access to Polestar 3 LIDAR,access_governance,Polestar,Polestar 3,2025,LIDAR
request access to 7X Hood sensor,access_governance,Zeekr,7X,2024,Hood sensor
is Tyre Pressure more accurate in 08 EM-P or 08 EM-P?,comparative_analysis,Lynk & Co,08 EM-P,2023,Tyre Pressure
why Hood xensor collection discontinued Polestar 4?,temporal_stats,Polestar,Polestar 4,2024,Hood sensor
is Hood sensor still being recorded for 01?,temporal_stats,Jiyue,01,2025,Hood sensor
is LIDAR more accurate in Emeya or Emeya?,comparative_analysis,Lotus,Emeya,2025,LIDAR
any issues with Control Network logs today?,system_status_check,Polestar,Polestar 5,2025,Control Network
mean ADAS Camera across Zeekr fleet,statistical_query,Zeekr,001,2025,ADAS Camera
sqme info but for Zeekr Mix,contextual_followups,Zeekr,Mix,2025,CANBUS
pull Tyrr Pressure history for 01,imperative_commands,Jiyue,01,2023,Tyre Pressure
how long wr have High Voltage battery data for 01?,temporal_stats,Jiyue,01,2023,High Voltage battery
compare vision system between v60 recharge and v60 recharge,comparative_analysis,Volvo,V60 Recharge,2024,Vision system
production vehicle logs for Polestar CAN-FD?,collection_method,Polestar,Polestar 4,2025,CAN-FD
contact for 05 ADAS Camera access,access_governance,Lynk & Co,05,2023,ADAS Camera
is Autonomous sensor data stream broken for Polestar 5?,system_status_check,Polestar,Polestar 5,2025,Autonomous sensor
start date for TPMS logs 001,temporal_stats,Zeekr,001,2023,TPMS
get me Bonnet sensor stats for Eletre,imperative_commands,Lotus,Eletre,2024,Bonnet sensor
who is owner Control Network data?,access_governance,Jiyue,07,2025,Control Network
is Vision system more accurate in Polestar 3 or Starray?,comparative_analysis,Polestar,Polestar 3,2023,Vision system
what TPMS means for car 001?,data_definition,Zeekr,001,2022,TPMS
Is Trunk sensor data live for 07?,collection_method,Jiyue,07,2025,Trunk sensor
how CANBUS works in Lotus Emeya?,data_definition,Lotus,Emeya,2025,CANBUS
Emrya Trunk sensor data type?,data_definition,Lotus,Emeya,2025,Trunk sensor
why we use Parquet for LiDAR?,data_definition,Geely Auto,Emigrant,2024,LiDAR
why ADAS Cqmera collection discontinued Emigrant?,temporal_stats,Geely Auto,Emigrant,2022,ADAS Camera
Trunk sensor description Lotus Emira,data_definition,Lotus,Emira,2025,Trunk sensor
difference in Tyre Pressure data for Zeekr vs Lynk & Co,comparative_analysis,Zeekr,Mix,2025,Tyre Pressure
start date for Control Network logs 03 TCR,temporal_stats,Lynk & Co,03 TCR,2022,Control Network
erratic Lidar data in Polestar 5,anomaly_info,Polestar,Polestar 5,2026,Lidar
chrck Lynk & Co Acoustics database health,system_status_check,Lynk & Co,03 TCR,2024,Acoustics
average reading of control network polestar 5,statistical_query,Polestar,Polestar 5,2026,Control Network
peak values Bonnet sensor Mix last week,statistical_query,Zeekr,Mix,2024,Bonnet sensor
status of CANBUS collection in Lynk & Co,system_status_check,Lynk & Co,Z10,2025,CANBUS
who working on Lynk & Co LIDAR right now?,access_governance,Lynk & Co,03 TCR,2023,LIDAR
when stop Boot latch sensor for Zeekr?,temporal_stats,Zeekr,Mix,2025,Boot latch sensor
difference in LiDAR data for Jiyue vs Jiyue,comparative_analysis,Jiyue,01,2023,LiDAR
erratic Tire Pressure data in 7X,anomaly_info,Zeekr,7X,2024,Tire Pressure
definition of High Voltage battery telemetry Zeekr,data_definition,Zeekr,Mix,2025,High Voltage battery
Bonnet sensor performance Geely Auto vs Zeekr,comparative_analysis,Geely Auto,Emigrant,2021,Bonnet sensor
how is LIDAR data gathered for Jiyue?,collection_method,Jiyue,01,2025,LIDAR
get me NVH stats for 05,imperative_commands,Lynk & Co,05,2023,NVH
why stop? (Noise and Vibration),contextual_followups,Lotus,Emira,2023,Noise and Vibration
production vehicle logs for Zeekr Noise and Vibration?,collection_method,Zeekr,001,2022,Noise and Vibration
show me outliers for lidar in 07,anomaly_info,Jiyue,07,2024,LiDAR
bad data points in ADAS Camera 08 EM-P,anomaly_info,Lynk & Co,08 EM-P,2024,ADAS Camera
is Bonnrt sensor still being recorded for 09 Ultra?,temporal_stats,Lynk & Co,09 Ultra,2023,Bonnet sensor
production vehicle logs for Volvo Boot latch sensor?,collection_method,Volvo,S90,2024,Boot latch sensor
how Noise and Vibration works in Zeekr 001?,data_definition,Zeekr,001,2024,Noise and Vibration
bad data points in Vision system 05,anomaly_info,Lynk & Co,05,2021,Vision system
most freq Tire Pressure value,statistical_query,Geely Auto,Starray,2023,Tire Pressure
what is HV battery average in Volvo V60 Recharge?,statistical_query,Volvo,V60 Recharge,2025,HV battery
pull High Voltage battery history for 08 EM-P,imperative_commands,Lynk & Co,08 EM-P,2024,High Voltage battery
production vehicle logs for Acoustics?,collection_method,Zeekr,Mix,2024,Acoustics
for S90 what Hood sensor info exists?,data_definition,Volvo,S90,2022,Hood sensor
ix Acoustics still being recorded for 08 EM-P?,temporal_stats,Lynk & Co,08 EM-P,2025,Acoustics
when stop canbus for polestar,temporal_stats,Polestar,Polestar 4,2025,CANBUS
what about Acoustics on the Starray?,contextual_followups,Geely Auto,Starray,2022,Acoustics
what is highest/lowest LiDAR?,statistical_query,Zeekr,007,2024,LiDAR
outlier reason for Tire Pressure logs,anomaly_info,Volvo,EM90,2025,Tire Pressure
get me CANBUS stats for 08 EM-P,imperative_commands,Lynk & Co,08 EM-P,2024,CANBUS
is Tire Pressure more accurate in 07 or 07?,comparative_analysis,Jiyue,07,2024,Tire Pressure
defonition of Lidar telemetry Lotus,data_definition,Lotus,Evija,2025,Lidar
abnormal Hood sensor readings V60 Recharge,anomaly_info,Volvo,V60 Recharge,2021,Hood sensor
frequency of Control Network errors Zeekr,anomaly_info,Zeekr,Mix,2025,Control Network
pull HV battery history for 05,imperative_commands,Lynk & Co,05,2025,HV battery
since when High Voltage battery collected Lynk & Co?,temporal_stats,Lynk & Co,01,2020,High Voltage battery
find outliers in High Voltage battery dataset,imperative_commands,Lotus,Emira,2025,High Voltage battery
peak values Lidar Z10 last week,statistical_query,Lynk & Co,Z10,2025,Lidar
contact for Emira CANBUS access,access_governance,Lotus,Emira,2024,CANBUS
average reading of Trunk xensor 03 TCR,statistical_query,Lynk & Co,03 TCR,2025,Trunk sensor
does lidar need data logger unit for collection,collection_method,Zeekr,009,2024,Lidar
